Comparison,"Gradients 0","Gradients 1","Gradients 2"
"Experts Resting vs. Experts Compassion",0.7156020623007808,0.7156020623007808,0.7156020623007808
"Experts Resting vs. Experts Open Monitoring",0.5090155988275284,0.5090155988275284,0.5090155988275284
"Experts Open Monitoring vs. Experts Compassion",0.8733537674341689,0.8733537674341689,0.8733537674341689
"Novices Resting vs. Novices Compassion",0.00012237265715929783,0.00012237265715929783,0.00012237265715929783
"Novices Resting vs. Novices Open Monitoring",0.01677658196031221,0.01677658196031221,0.01677658196031221
"Novices Open Monitoring vs. Novices Compassion",0.05280220490622264,0.05280220490622264,0.05280220490622264
"Experts Resting vs. Novices Resting",0.008101520145071879,0.008101520145071879,0.008101520145071879
"Experts Compassion vs. Novices Compassion",0.34464989567725285,0.34464989567725285,0.34464989567725285
"Experts Open Monitoring vs. Novices Open Monitoring",0.20411997468849347,0.20411997468849347,0.20411997468849347
"Experts Resting vs. Novices Compassion",0.26083147207269586,0.26083147207269586,0.26083147207269586
"Experts Resting vs. Novices Open Monitoring",0.22653103591242563,0.22653103591242563,0.22653103591242563
"Experts Compassion vs. Novices Resting",0.0015235698461837748,0.0015235698461837748,0.0015235698461837748
"Experts Compassion vs. Novices Open Monitoring",0.16345793592697144,0.16345793592697144,0.16345793592697144
"Experts Open Monitoring vs. Novices Resting",0.003701513204402427,0.003701513204402427,0.003701513204402427
"Experts Open Monitoring vs. Novices Compassion",0.29762333469203395,0.29762333469203395,0.29762333469203395
