Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.0022,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Resting vs. Experts Open Monitoring",0.0258,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Open Monitoring vs. Experts Compassion",0.0254,0.0041,0.1679,0.0044,0.0159,0.0236,0.0058
"Experts Resting vs. Experts Meditating",0.0054,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Resting vs. Novices Compassion",0.0006,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Resting vs. Novices Open Monitoring",0.0013,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Open Monitoring vs. Novices Compassion",0.0153,0.0106,0.0023,0.004,0.0007,0.0025,0.0007
"Novices Resting vs. Novices Meditating",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Resting vs. Novices Resting",0.5895,0.1801,0.9466,0.335,0.7382,0.9398,0.7667
"Experts Compassion vs. Novices Compassion",0.5403,0.1807,0.9534,0.308,0.7647,0.9375,0.763
"Experts Open Monitoring vs. Novices Open Monitoring",0.534,0.2278,0.9638,0.359,0.8008,0.9462,0.808
"Experts Meditating vs. Novices Meditating",0.5374,0.2234,0.9644,0.3429,0.7994,0.9459,0.8025
"Experts All vs. Novices All",0.5461,0.2159,0.9603,0.3544,0.7815,0.9443,0.7915
"Experts Resting vs. Novices Compassion",0.4899,0.1234,0.9086,0.229,0.6309,0.8819,0.6449
"Experts Resting vs. Novices Open Monitoring",0.4095,0.0938,0.9031,0.1841,0.5862,0.8627,0.5892
"Experts Compassion vs. Novices Resting",0.4677,0.1366,0.8639,0.2342,0.5973,0.8382,0.6031
"Experts Compassion vs. Novices Open Monitoring",0.402,0.1319,0.9308,0.2252,0.6805,0.8899,0.6712
"Experts Open Monitoring vs. Novices Resting",0.5777,0.1837,0.8929,0.3333,0.6666,0.8944,0.705
"Experts Open Monitoring vs. Novices Compassion",0.5826,0.2397,0.9624,0.395,0.8149,0.9483,0.8238
"Resting vs. Compassion",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Resting vs. Open Monitoring",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Compassion vs. Open Monitoring",0.0005,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Resting vs. Meditating",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
